n_estimators,learning_rate,max_depth,min_samples_split,min_samples_leaf,subsample,max_features,train_R2,train_RMSE,train_MAE,train_MAPE,train_MedAE,train_Max_Error,train_Explained_Var,test_R2,test_RMSE,test_MAE,test_MAPE,test_MedAE,test_Max_Error,test_Explained_Var
100,0.05,5,10,5,0.8,0.8,0.6581111364572942,2.2616264985161028,1.5849470561247727,57.772599987553285,1.0796445407021307,33.20759979120081,0.6581111442795595,0.6473144735661256,2.2964465694045315,1.608939403404366,58.52778792485337,1.0834561433563967,28.247775882137375,0.6473210299512928
100,0.05,5,10,5,0.8,1.0,0.5422361140648249,2.616972567996211,1.8732808861642505,74.82275584305862,1.3648358885463,36.78192967566003,0.5422361151055763,0.5351625480205544,2.636410803138339,1.894706219692969,75.30512356854,1.3854093949835262,34.15398414366292,0.5351646882356872
100,0.05,5,10,5,1.0,0.8,0.6583305036473364,2.2609008149516887,1.583955536421316,57.760988150078454,1.0788415780629397,33.59319038359952,0.6583305036473364,0.6471496865740363,2.296982996761685,1.6093681135622706,58.57184589493918,1.0842558076489937,28.603598158605454,0.6471544676061546
100,0.05,5,10,5,1.0,1.0,0.5387283991844707,2.626979993000631,1.8823174564302219,75.39894072514564,1.3761523417666652,36.55745924675422,0.5387283991844707,0.5333213864846155,2.641626885731473,1.9035148593462223,75.90598941146861,1.394956505169202,34.10675106394081,0.5333235144146729
100,0.05,7,10,5,0.8,0.8,0.6943206820703918,2.1385107338814873,1.4962427574775947,54.00622443796757,1.0233791255756717,31.08140364243907,0.694320687234611,0.6779196844857773,2.194545644012927,1.5342189130265456,55.307872888781915,1.0410120956341917,28.337742343200784,0.6779240685600125
100,0.05,7,10,5,0.8,1.0,0.6060154660780732,2.427828434305695,1.7221284588735128,67.01089730181201,1.2329547404427674,34.815755385993754,0.6060154688917097,0.5928768103120035,2.467319816488414,1.755902267076131,68.04186523474857,1.2574798759989663,32.072109231311245,0.5928807734749215
100,0.05,7,10,5,1.0,0.8,0.693010681379508,2.1430881706876437,1.4997585270837324,54.18049093474042,1.025431147148426,31.46417872927836,0.6930106813795079,0.6765894060261815,2.1990730063431476,1.5374163452987477,55.38266717794078,1.045477068704279,27.864415511192774,0.6765956961781042
100,0.05,7,10,5,1.0,1.0,0.6009218603650741,2.443472052842606,1.7375520740882506,67.94028732573936,1.2462834000019989,34.51161613826194,0.6009218603650741,0.5885879073065118,2.4802819515347663,1.7706945934370701,68.95159218480266,1.2707317011480241,33.128316782216714,0.588590701739256
100,0.05,9,10,5,0.8,0.8,0.7302734059616991,2.008816610628633,1.403519540877031,50.14914008560816,0.9543855361265323,28.377996112041004,0.7302734072295001,0.6977230718649607,2.126008647366262,1.4826538574120933,52.89434785656948,1.0032937068275838,27.379067282840236,0.6977295033754476
100,0.05,9,10,5,0.8,1.0,0.6581247727349306,2.261581395446576,1.5933316009810692,60.34859251335192,1.1222574426609448,32.08674041195904,0.6581247749736538,0.6339585203800023,2.3395249316396987,1.6496715098334047,62.229131614374275,1.1677811188005554,31.652300364196115,0.633964036764382
